Name: CCTV-8, URL: http://43.251.226.89:8080/play/362.m3u8, From: subscribe, IPv_Type: ipv4, Location: 中国-香港, ISP: CN2数据中心, Date: None, Delay: 10715 ms, Speed: 0.23 M/s, Resolution: 1920x1080
Name: CCTV-11, URL: http://lihetl.com:9527/rtp/232.0.0.11:8518, From: subscribe, IPv_Type: ipv4, Location: 中国-辽宁-铁岭, ISP: 联通, Date: None, Delay: 431 ms, Speed: 0.02 M/s, Resolution: None
Name: CCTV-12, URL: http://38.75.136.137:98/gslb/dsdqca/cctv12hd.m3u8?auth=test20251009, From: subscribe, IPv_Type: ipv4, Location: 美国-伊利诺伊州-库克, ISP: Cogent, Date: None, Delay: 696 ms, Speed: 7.76 M/s, Resolution: 1920x1080
Name: CCTV-12, URL: http://69.30.246.194/live/cctv12.m3u8, From: subscribe, IPv_Type: ipv4, Location: 美国-密苏里州-杰克逊县, ISP: WholeSale互联网股份有限公司, Date: None, Delay: 553 ms, Speed: 9.39 M/s, Resolution: 1920x1080
Name: CCTV-10, URL: http://1.24.39.180:9003/hls/10/index.m3u8, From: subscribe, IPv_Type: ipv4, Location: 中国-内蒙古-乌兰察布, ISP: 联通, Date: None, Delay: 8254 ms, Speed: 1.10 M/s, Resolution: 1920x1080
Name: CCTV-12, URL: http://lihetl.com:9527/rtp/232.0.0.136:9152, From: subscribe, IPv_Type: ipv4, Location: 中国-辽宁-铁岭, ISP: 联通, Date: None, Delay: 507 ms, Speed: 0.09 M/s, Resolution: None
Name: CCTV-13, URL: http://lihetl.com:9527/rtp/232.0.0.146:9112, From: subscribe, IPv_Type: ipv4, Location: 中国-辽宁-铁岭, ISP: 联通, Date: None, Delay: 454 ms, Speed: 0.22 M/s, Resolution: 1920x1080
Name: CCTV-12, URL: http://lihetl.com:9527/rtp/232.0.0.12:8520, From: subscribe, IPv_Type: ipv4, Location: 中国-辽宁-铁岭, ISP: 联通, Date: None, Delay: 479 ms, Speed: 0.03 M/s, Resolution: None
Name: CCTV-8, URL: http://42.237.223.71:8899/rtp/225.1.4.161:1197, From: local, IPv_Type: ipv4, Location: 中国-河南-平顶山, ISP: 联通, Date: None, Delay: 731 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: CCTV-13, URL: http://lihetl.com:9527/rtp/232.0.0.13:8522, From: subscribe, IPv_Type: ipv4, Location: 中国-辽宁-铁岭, ISP: 联通, Date: None, Delay: 461 ms, Speed: 0.07 M/s, Resolution: None
Name: CCTV-13, URL: http://38.75.136.137:98/gslb/dsdqca/cctv13hd.m3u8?auth=test20251009, From: subscribe, IPv_Type: ipv4, Location: 美国-伊利诺伊州-库克, ISP: Cogent, Date: None, Delay: 664 ms, Speed: 7.66 M/s, Resolution: 1920x1080
Name: CCTV-13, URL: http://ali-m-l.cztv.com/channels/lantian/channel21/1080p.m3u8, From: subscribe, IPv_Type: ipv4, Location: 中国-陕西, ISP: 移动, Date: None, Delay: 1579 ms, Speed: 1.44 M/s, Resolution: 1920x1080
Name: CCTV-9, URL: http://42.237.223.71:8899/rtp/225.1.4.77:1106, From: local, IPv_Type: ipv4, Location: 中国-河南-平顶山, ISP: 联通, Date: None, Delay: 447 ms, Speed: 0.93 M/s, Resolution: 1920x1080
Name: CCTV-14, URL: http://lihetl.com:9527/rtp/232.0.0.137:9154, From: subscribe, IPv_Type: ipv4, Location: 中国-辽宁-铁岭, ISP: 联通, Date: None, Delay: 433 ms, Speed: 0.05 M/s, Resolution: None
Name: CCTV-14, URL: http://lihetl.com:9527/rtp/232.0.0.14:8524, From: subscribe, IPv_Type: ipv4, Location: 中国-辽宁-铁岭, ISP: 联通, Date: None, Delay: 454 ms, Speed: 0.07 M/s, Resolution: 720x576
Name: CCTV-10, URL: http://42.237.223.71:8899/rtp/225.1.4.78:1107, From: local, IPv_Type: ipv4, Location: 中国-河南-平顶山, ISP: 联通, Date: None, Delay: 422 ms, Speed: 0.95 M/s, Resolution: 1920x1080
Name: CCTV-11, URL: http://42.237.223.71:8899/rtp/225.1.4.215:1268, From: local, IPv_Type: ipv4, Location: 中国-河南-平顶山, ISP: 联通, Date: None, Delay: 410 ms, Speed: 0.95 M/s, Resolution: 1920x1080
Name: CCTV-15, URL: http://lihetl.com:9527/rtp/232.0.0.41:8526, From: subscribe, IPv_Type: ipv4, Location: 中国-辽宁-铁岭, ISP: 联通, Date: None, Delay: 480 ms, Speed: 0.02 M/s, Resolution: None
Name: CCTV-12, URL: http://42.237.223.71:8899/rtp/225.1.4.79:1108, From: local, IPv_Type: ipv4, Location: 中国-河南-平顶山, ISP: 联通, Date: None, Delay: 442 ms, Speed: 0.94 M/s, Resolution: 1920x1080
Name: CCTV-16, URL: http://69.30.246.194/live/cctv16.m3u8, From: subscribe, IPv_Type: ipv4, Location: 美国-密苏里州-杰克逊县, ISP: WholeSale互联网股份有限公司, Date: None, Delay: 505 ms, Speed: 8.47 M/s, Resolution: 1920x1080
Name: CCTV-13, URL: http://iptv.4666888.xyz/iptv2A.php?id=11, From: subscribe, IPv_Type: ipv4, Location: 中国-香港, ISP: AS979_Net, Date: None, Delay: 111 ms, Speed: 0.63 M/s, Resolution: 1920x1080
Name: CCTV-13, URL: http://43.251.226.89:8080/play/1.m3u8, From: subscribe, IPv_Type: ipv4, Location: 中国-香港, ISP: CN2数据中心, Date: None, Delay: 519 ms, Speed: 0.26 M/s, Resolution: 1920x1080
Name: CCTV-13, URL: http://42.237.223.71:8899/rtp/225.1.4.113:1293, From: local, IPv_Type: ipv4, Location: 中国-河南-平顶山, ISP: 联通, Date: None, Delay: 423 ms, Speed: 0.95 M/s, Resolution: 1920x1080
